vehicle_type,second_vehicle_type,date,time,road_has_pavement,distance_to_nearest_traffic_light,speed_limit,estimated_speed_of_collision,speed_of_collision_rangeseat_belt_used,injury_sustained,lethal,land_use,city
Car,Motorbike,15/01/18,17:51,0,28,60,60,60 - 65,1,1,0,Agricultural,Nairobi
Car,Car,21/04/18,09:13,0,30,50,61,60 - 65,1,1,1,Agricultural,Nairobi
Car,Car,11/01/18,19:25,0,28,60,63,60 - 65,1,1,1,Industrial,Nairobi
Car,Car,04/08/18,08:58,0,15,50,61,60 - 65,1,1,0,Residential,Nairobi
Car,Car,08/05/18,08:58,0,0,40,34,30 - 35,0,1,0,Residential,Kikuyu
Car,Car,23/10/18,08:19,1,26,50,57,55 - 60,1,1,0,Commercial,Nairobi
Car,Car,26/10/18,10:02,0,6,50,45,45 - 50,0,1,1,Industrial,Kisumu
Motorbike,Car,18/12/18,18:55,0,17,50,53,50 - 55,1,1,0,Residential,Kisumu
Motorbike,Bicycle,16/01/18,18:56,0,6,20,20,20 - 25,N/A,1,0,Agricultural,Nairobi
Car,Car,09/02/18,08:35,1,17,50,56,55 - 60,1,1,0,Residential,Nairobi
Pedestrian,Motorbike,10/12/18,20:47,1,19,30,44,40 - 45,N/A,1,0,Commercial,Nairobi
Bicycle,Car,03/12/18,10:03,0,28,30,30,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,19/07/18,09:19,0,12,60,60,60 - 65,0,1,1,Residential,Nairobi
Pedestrian,Pedestrian,11/07/18,10:50,0,9,20,19,15 - 20,N/A,0,0,Commercial,Nairobi
Car,Car,10/11/18,20:39,1,25,50,41,40 - 45,0,1,0,Commercial,Mombasa
Pedestrian,Motorbike,23/05/18,19:28,0,11,20,26,25 - 30,N/A,1,0,Transport,Nairobi
Pedestrian,Motorbike,28/12/18,08:54,1,24,20,24,20 - 25,N/A,1,0,Residential,Mombasa
Car,Car,27/01/18,09:52,1,29,50,49,45 - 50,0,1,0,Residential,Nairobi
Car,Car,23/07/18,10:44,0,28,50,50,50 - 55,1,1,0,Residential,Mombasa
Car,Motorbike,14/02/18,10:25,0,13,40,47,45 - 50,1,1,0,Agricultural,Mombasa
Car,Motorbike,11/04/18,20:44,1,4,50,37,35 - 40,1,1,0,Industrial,Kehancha
Pedestrian,Car,03/08/18,18:11,0,13,20,16,15 - 20,1,0,0,Commercial,Nairobi
Motorbike,Pedestrian,14/06/18,19:18,0,17,40,45,45 - 50,N/A,1,0,Residential,Mombasa
Car,Car,02/04/18,08:08,0,26,70,71,70 - 75,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,23/04/18,17:25,0,25,20,23,20 - 25,N/A,0,0,Commercial,Kisumu
Motorbike,Pedestrian,01/07/18,19:48,1,7,30,23,20 - 25,N/A,1,0,Residential,Eldoret
Motorbike,Motorbike,07/09/18,19:40,0,22,40,52,50 - 55,N/A,1,1,Agricultural,Nairobi
Bicycle,Motorbike,21/05/18,13:16,0,8,40,41,40 - 45,N/A,1,0,Transport,Kisumu
Car,Car,15/11/18,17:05,1,14,70,75,75 - 80,0,1,1,Residential,Nairobi
Car,Car,15/01/18,10:28,0,6,50,50,50 - 55,1,1,0,Commercial,Nairobi
Car,Car,24/07/18,19:52,0,16,60,68,65 - 70,1,1,0,Agricultural,Nairobi
Motorbike,Car,16/02/18,22:29,0,20,40,49,45 - 50,1,1,1,Agricultural,Nakuru
Car,Car,02/04/18,19:24,0,24,50,47,45 - 50,1,1,0,Agricultural,Nairobi
Bicycle,Car,12/03/18,08:09,1,16,50,52,50 - 55,1,1,0,Commercial,Mombasa
Pedestrian,Pedestrian,08/10/18,20:09,0,19,20,21,20 - 25,N/A,0,0,Agricultural,Kisumu
Motorbike,Car,17/08/18,20:42,0,17,50,41,40 - 45,1,1,0,Agricultural,Nakuru
Motorbike,Motorbike,11/08/18,20:20,0,3,40,39,35 - 40,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,05/04/18,18:50,0,11,30,27,25 - 30,N/A,0,0,Agricultural,Nairobi
Bicycle,Bicycle,17/05/18,01:00,0,21,20,26,25 - 30,N/A,1,0,Transport,Nairobi
Car,Car,28/04/18,18:11,0,19,50,48,45 - 50,1,1,0,Agricultural,Nairobi
Motorbike,Car,10/06/18,23:37,1,7,50,42,40 - 45,1,1,0,Residential,Nairobi
Car,Pedestrian,22/04/18,09:45,0,34,20,25,25 - 30,0,1,0,Agricultural,Nairobi
Car,Bicycle,25/02/18,18:32,1,1,20,12,10 - 15,1,0,0,Commercial,Kehancha
Motorbike,Car,15/10/18,06:41,0,22,40,53,50 - 55,1,1,0,Agricultural,Mombasa
Bicycle,Pedestrian,23/10/18,17:09,0,0,30,40,40 - 45,N/A,0,0,Residential,Nairobi
Car,Motorbike,26/04/18,18:57,0,9,40,43,40 - 45,0,1,0,Agricultural,Nairobi
Bicycle,Car,17/04/18,20:39,1,28,40,36,35 - 40,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,01/07/18,09:44,0,20,30,37,35 - 40,N/A,1,0,Residential,Nairobi
Pedestrian,Car,17/08/18,20:13,1,11,40,40,40 - 45,0,1,0,Industrial,Kehancha
Motorbike,Car,20/07/18,08:44,0,8,40,40,40 - 45,0,1,1,Agricultural,Nairobi
Car,Motorbike,12/04/18,19:32,0,27,30,25,25 - 30,1,1,0,Commercial,Nairobi
Car,Car,07/06/18,09:14,1,5,60,73,70 - 75,1,1,0,Industrial,Mombasa
Bicycle,Motorbike,27/11/18,15:53,1,11,50,52,50 - 55,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,08/07/18,08:31,0,10,30,24,20 - 25,N/A,1,0,Agricultural,Nairobi
Bicycle,Car,07/08/18,18:40,0,16,20,21,20 - 25,0,1,0,Agricultural,Nakuru
Motorbike,Car,21/03/18,10:21,1,27,60,50,50 - 55,0,1,1,Commercial,Mombasa
Car,Car,12/12/18,10:38,0,11,40,40,40 - 45,0,1,1,Agricultural,Nairobi
Car,Car,12/09/18,10:54,0,12,60,60,60 - 65,1,1,1,Agricultural,Nairobi
Bicycle,Bicycle,01/11/18,04:49,0,19,40,37,35 - 40,N/A,1,0,Residential,Nakuru
Motorbike,Motorbike,19/12/18,08:19,0,1,60,64,60 - 65,N/A,1,1,Residential,Nairobi
Pedestrian,Pedestrian,08/01/18,09:30,1,19,20,18,15 - 20,N/A,1,0,Commercial,Nakuru
Motorbike,Bicycle,12/12/18,18:56,0,18,30,33,30 - 35,N/A,1,0,Commercial,Nairobi
Car,Car,14/06/18,10:14,1,21,60,57,55 - 60,1,1,0,Residential,Nairobi
Car,Bicycle,15/05/18,17:53,0,16,40,39,35 - 40,1,1,0,Residential,Nairobi
Bicycle,Motorbike,14/02/18,20:49,0,15,40,40,40 - 45,N/A,1,0,Industrial,Kehancha
Motorbike,Motorbike,25/05/18,18:02,0,13,70,68,65 - 70,N/A,1,0,Agricultural,Nairobi
Pedestrian,Bicycle,25/10/18,23:57,0,12,30,38,35 - 40,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,22/04/18,20:59,0,8,30,39,35 - 40,N/A,1,0,Commercial,Nairobi
Car,Car,27/09/18,20:30,0,29,30,31,30 - 35,0,1,0,Agricultural,Nairobi
Car,Car,08/07/18,18:20,0,18,60,55,55 - 60,0,1,0,Residential,Mombasa
Motorbike,Pedestrian,16/02/18,11:26,1,28,20,20,20 - 25,N/A,1,0,Residential,Nairobi
Pedestrian,Car,18/10/18,07:06,0,22,30,33,30 - 35,0,1,0,Commercial,Kikuyu
Car,Car,24/07/18,09:10,0,13,70,67,65 - 70,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,13/07/18,09:12,0,16,20,26,25 - 30,N/A,1,0,Industrial,Nakuru
Car,Car,08/03/18,20:02,1,17,70,66,65 - 70,1,1,0,Residential,Nairobi
Car,Pedestrian,03/01/18,16:25,1,6,30,31,30 - 35,1,0,0,Residential,Nairobi
Motorbike,Motorbike,14/02/18,20:04,0,22,50,54,50 - 55,N/A,1,1,Transport,Nakuru
Car,Car,06/06/18,09:55,0,18,50,57,55 - 60,0,1,1,Agricultural,Eldoret
Motorbike,Car,21/10/18,17:45,1,27,40,36,35 - 40,1,1,0,Residential,Nairobi
Car,Car,11/05/18,19:31,0,19,60,54,50 - 55,1,1,1,Commercial,Nairobi
Pedestrian,Pedestrian,22/06/18,00:54,0,20,20,34,30 - 35,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,15/11/18,08:44,0,10,40,48,45 - 50,N/A,1,0,Residential,Mombasa
Car,Car,28/10/18,12:03,1,2,40,38,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Car,18/02/18,10:43,0,25,40,49,45 - 50,1,1,1,Residential,Nairobi
Pedestrian,Bicycle,20/07/18,10:03,1,2,20,18,15 - 20,N/A,0,0,Residential,Nairobi
Pedestrian,Car,26/01/18,03:32,1,25,40,36,35 - 40,1,0,0,Residential,Mombasa
Motorbike,Car,09/02/18,17:04,0,29,50,50,50 - 55,1,1,0,Residential,Nairobi
Car,Motorbike,27/04/18,20:40,1,17,50,51,50 - 55,1,1,0,Commercial,Nakuru
Pedestrian,Car,06/01/18,20:24,1,11,30,30,30 - 35,1,1,0,Industrial,Nairobi
Car,Car,17/10/18,20:31,0,11,60,61,60 - 65,0,1,1,Residential,Nairobi
Motorbike,Pedestrian,19/10/18,15:32,1,14,20,23,20 - 25,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,10/09/18,18:56,0,26,30,44,40 - 45,N/A,0,0,Agricultural,Nairobi
Bicycle,Pedestrian,06/07/18,16:07,0,27,20,24,20 - 25,N/A,1,0,Agricultural,Nairobi
Motorbike,Motorbike,16/03/18,19:49,0,21,40,37,35 - 40,N/A,1,0,Agricultural,Kisumu
Car,Bicycle,08/01/18,22:54,0,17,30,32,30 - 35,1,1,0,Agricultural,Nairobi
Car,Car,07/03/18,17:22,1,31,40,44,40 - 45,0,1,0,Commercial,Mombasa
Pedestrian,Car,14/10/18,10:29,0,17,40,34,30 - 35,1,1,0,Residential,Nairobi
Bicycle,Motorbike,14/05/18,17:38,1,21,30,39,35 - 40,N/A,1,1,Residential,Nairobi
Motorbike,Car,23/07/18,13:30,1,16,50,53,50 - 55,0,1,0,Residential,Nakuru
Car,Car,08/11/18,18:22,0,3,60,70,70 - 75,1,0,0,Residential,Nairobi
Pedestrian,Bicycle,05/10/18,08:24,1,14,40,46,45 - 50,N/A,1,0,Residential,Mombasa
Car,Car,02/04/18,00:54,1,20,50,36,35 - 40,1,1,0,Commercial,Kisumu
Pedestrian,Car,10/06/18,18:33,1,15,30,25,25 - 30,1,0,0,Commercial,Nairobi
Bicycle,Pedestrian,15/03/18,19:55,1,34,30,30,30 - 35,N/A,1,0,Residential,Nairobi
Car,Car,22/06/18,20:18,0,1,70,55,55 - 60,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,03/03/18,10:03,0,22,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Motorbike,Car,05/03/18,15:14,0,1,60,64,60 - 65,0,1,1,Commercial,Nairobi
Motorbike,Pedestrian,14/09/18,09:46,0,6,40,34,30 - 35,N/A,1,0,Agricultural,Kehancha
Motorbike,Car,22/09/18,08:09,0,4,50,57,55 - 60,1,1,0,Agricultural,Nairobi
Pedestrian,Pedestrian,14/12/18,20:36,1,1,30,20,20 - 25,N/A,0,0,Industrial,Kehancha
Car,Car,21/04/18,07:32,0,3,40,43,40 - 45,1,1,0,Agricultural,Nairobi
Motorbike,Car,10/02/18,10:59,1,9,60,66,65 - 70,1,1,0,Commercial,Nairobi
Bicycle,Bicycle,13/12/18,18:20,0,4,30,26,25 - 30,N/A,0,0,Residential,Mombasa
Car,Car,06/02/18,18:33,1,27,60,48,45 - 50,0,1,1,Residential,Nairobi
Car,Motorbike,25/02/18,20:02,1,13,60,65,65 - 70,1,1,1,Residential,Mombasa
Pedestrian,Car,26/09/18,09:30,0,26,40,32,30 - 35,0,1,1,Agricultural,Mombasa
Pedestrian,Bicycle,19/06/18,08:31,0,17,40,35,35 - 40,N/A,1,0,Industrial,Nairobi
Car,Car,04/09/18,01:08,0,18,50,42,40 - 45,1,1,1,Agricultural,Mombasa
Car,Car,23/09/18,20:30,0,28,50,50,50 - 55,1,1,0,Agricultural,Nairobi
Car,Pedestrian,19/02/18,19:52,0,15,40,41,40 - 45,1,1,0,Residential,Nairobi
Car,Car,28/07/18,11:41,0,2,50,55,55 - 60,1,1,0,Residential,Nairobi
Car,Car,23/10/18,23:38,0,5,60,57,55 - 60,0,1,1,Residential,Nairobi
Car,Car,26/02/18,13:11,0,16,60,55,55 - 60,0,1,1,Residential,Mombasa
Motorbike,Pedestrian,27/08/18,10:20,0,19,20,22,20 - 25,N/A,1,0,Agricultural,Kisumu
Pedestrian,Motorbike,18/05/18,17:17,0,0,40,38,35 - 40,N/A,1,0,Residential,Nairobi
Car,Car,02/03/18,20:53,0,12,50,48,45 - 50,1,1,0,Transport,Kikuyu
Car,Car,07/07/18,01:22,0,1,40,33,30 - 35,0,1,0,Transport,Eldoret
Car,Bicycle,27/05/18,20:18,0,10,20,10,10 - 15,1,1,0,Commercial,Nairobi
Car,Pedestrian,07/03/18,20:05,0,22,40,36,35 - 40,1,1,0,Residential,Nairobi
Pedestrian,Car,16/01/18,18:26,1,8,40,40,40 - 45,1,1,0,Commercial,Nairobi
Bicycle,Car,14/08/18,17:02,0,13,40,39,35 - 40,1,1,0,Residential,Nairobi
Motorbike,Car,05/10/18,17:42,1,14,50,35,35 - 40,0,1,0,Residential,Mombasa
Pedestrian,Bicycle,09/02/18,13:58,1,0,30,37,35 - 40,N/A,0,0,Residential,Nairobi
Motorbike,Car,22/09/18,17:43,0,23,40,40,40 - 45,0,1,0,Agricultural,Nairobi
Car,Bicycle,28/11/18,10:31,1,10,30,33,30 - 35,0,1,0,Commercial,Kikuyu
Pedestrian,Car,04/12/18,19:23,1,21,30,31,30 - 35,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,03/12/18,18:52,0,14,30,41,40 - 45,N/A,0,0,Residential,Mombasa
Pedestrian,Pedestrian,05/03/18,22:05,0,9,30,29,25 - 30,N/A,0,0,Residential,Nairobi
Bicycle,Pedestrian,20/02/18,18:42,0,20,30,41,40 - 45,N/A,1,0,Commercial,Nairobi
Car,Car,11/05/18,20:53,0,22,50,60,60 - 65,0,1,1,Residential,Nakuru
Car,Motorbike,12/07/18,18:55,0,24,60,62,60 - 65,1,1,0,Agricultural,Nairobi
Car,Car,04/06/18,20:40,0,29,50,50,50 - 55,0,1,0,Agricultural,Nairobi
Motorbike,Car,07/10/18,08:15,1,18,50,43,40 - 45,1,1,0,Residential,Nairobi
Motorbike,Pedestrian,26/06/18,10:45,1,22,20,10,10 - 15,N/A,1,0,Commercial,Nairobi
Car,Car,17/10/18,10:32,0,28,50,38,35 - 40,0,1,1,Commercial,Kisumu
Car,Motorbike,24/03/18,09:12,1,19,40,38,35 - 40,0,1,0,Commercial,Mombasa
Pedestrian,Motorbike,17/01/18,08:22,0,12,20,17,15 - 20,N/A,1,0,Residential,Nairobi
Car,Car,03/02/18,22:12,1,9,50,42,40 - 45,1,1,0,Residential,Nairobi
Bicycle,Pedestrian,01/08/18,17:38,1,31,30,27,25 - 30,N/A,1,0,Commercial,Mombasa
Pedestrian,Pedestrian,06/03/18,19:46,1,4,30,23,20 - 25,N/A,0,0,Commercial,Nairobi
Car,Car,10/03/18,10:24,0,12,60,56,55 - 60,0,1,1,Industrial,Kehancha
Car,Car,06/02/18,15:59,1,3,40,29,25 - 30,1,0,0,Residential,Nairobi
Car,Car,17/05/18,10:22,1,32,70,56,55 - 60,1,1,0,Residential,Mombasa
Motorbike,Car,06/07/18,17:02,1,7,60,60,60 - 65,1,1,0,Residential,Nairobi
Car,Car,28/05/18,17:06,0,3,60,59,55 - 60,1,0,0,Residential,Mombasa
Bicycle,Bicycle,09/05/18,17:22,0,19,30,26,25 - 30,N/A,0,0,Industrial,Nairobi
Bicycle,Motorbike,12/10/18,18:43,1,15,20,25,25 - 30,N/A,1,0,Commercial,Nairobi
Car,Car,22/11/18,19:31,1,11,70,80,80 - 85,0,1,1,Residential,Kehancha
Car,Car,17/10/18,19:09,0,4,50,59,55 - 60,1,1,0,Residential,Mombasa
Car,Car,12/04/18,09:08,0,13,50,39,35 - 40,1,1,1,Residential,Eldoret
Car,Car,02/02/18,01:19,0,21,50,50,50 - 55,1,1,0,Agricultural,Nairobi
Car,Car,02/04/18,07:25,0,6,70,77,75 - 80,0,1,1,Agricultural,Mombasa
Car,Car,01/03/18,16:43,1,28,60,63,60 - 65,1,1,0,Commercial,Nairobi
Car,Car,13/11/18,15:23,0,19,70,74,70 - 75,1,1,0,Agricultural,Nairobi
Motorbike,Car,19/07/18,20:32,1,27,40,44,40 - 45,1,1,0,Agricultural,Mombasa
Pedestrian,Pedestrian,26/09/18,17:11,0,20,30,29,25 - 30,N/A,0,0,Agricultural,Nairobi
Car,Car,05/02/18,09:19,0,17,30,23,20 - 25,1,1,0,Agricultural,Kisumu
Pedestrian,Pedestrian,10/05/18,19:52,1,9,20,19,15 - 20,N/A,0,0,Residential,Nairobi
Car,Car,15/04/18,17:14,1,6,70,75,75 - 80,1,1,0,Residential,Nairobi
Motorbike,Car,02/05/18,11:03,0,22,50,50,50 - 55,1,1,1,Agricultural,Nairobi
Bicycle,Pedestrian,01/04/18,20:01,0,20,30,35,35 - 40,N/A,1,0,Agricultural,Nairobi
Car,Bicycle,14/04/18,18:40,0,14,30,38,35 - 40,0,1,0,Residential,Nairobi
Car,Car,13/05/18,20:31,0,23,40,40,40 - 45,1,1,0,Residential,Mombasa
Car,Car,08/11/18,07:07,1,12,60,65,65 - 70,1,1,0,Residential,Mombasa
Car,Car,11/01/18,09:07,0,12,60,65,65 - 70,1,1,1,Residential,Mombasa
Motorbike,Motorbike,06/07/18,19:10,0,7,50,59,55 - 60,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,02/04/18,18:25,0,22,20,12,10 - 15,N/A,0,0,Agricultural,Mombasa
Motorbike,Pedestrian,26/10/18,05:31,0,21,20,24,20 - 25,N/A,1,0,Residential,Kisumu
Pedestrian,Car,03/08/18,08:58,0,16,30,45,45 - 50,1,1,0,Agricultural,Nairobi
Car,Car,06/05/18,19:47,1,17,50,47,45 - 50,1,1,0,Residential,Nairobi
Motorbike,Car,08/12/18,20:56,0,20,40,36,35 - 40,1,1,0,Residential,Nairobi
Car,Car,23/09/18,08:39,1,12,50,48,45 - 50,1,1,0,Transport,Nakuru
Pedestrian,Pedestrian,01/04/18,17:31,1,4,30,36,35 - 40,N/A,0,0,Commercial,Kehancha
Car,Car,05/02/18,19:10,0,21,50,51,50 - 55,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,23/03/18,09:24,0,16,30,18,15 - 20,N/A,1,0,Residential,Mombasa
Car,Car,13/05/18,18:11,1,20,50,50,50 - 55,0,1,0,Commercial,Eldoret
Bicycle,Pedestrian,02/03/18,19:57,0,22,40,34,30 - 35,N/A,1,0,Agricultural,Kisumu
Pedestrian,Bicycle,20/07/18,20:39,0,16,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Motorbike,Car,05/07/18,19:56,0,11,40,48,45 - 50,0,1,0,Residential,Kikuyu
Car,Car,16/12/18,11:17,1,2,60,66,65 - 70,1,1,0,Residential,Mombasa
Motorbike,Motorbike,17/08/18,02:28,1,15,60,47,45 - 50,N/A,1,0,Residential,Nairobi
Bicycle,Pedestrian,28/12/18,18:11,0,0,40,35,35 - 40,N/A,0,0,Commercial,Mombasa
Car,Car,06/03/18,10:33,1,4,70,68,65 - 70,1,1,0,Residential,Eldoret
Car,Pedestrian,27/12/18,04:41,0,15,30,26,25 - 30,0,1,0,Agricultural,Mombasa
Car,Car,28/11/18,18:28,0,14,60,67,65 - 70,0,1,0,Agricultural,Mombasa
Car,Car,16/11/18,20:11,0,26,50,63,60 - 65,1,1,0,Residential,Nakuru
Car,Car,20/09/18,10:58,0,8,70,65,65 - 70,1,1,0,Residential,Nairobi
Car,Motorbike,06/05/18,20:22,0,22,50,55,55 - 60,1,1,0,Residential,Nairobi
Car,Car,05/02/18,19:54,1,15,50,52,50 - 55,1,1,0,Residential,Nairobi
Car,Bicycle,12/04/18,15:12,0,12,50,48,45 - 50,1,1,0,Residential,Mombasa
Car,Bicycle,05/04/18,04:40,1,19,20,8,5 - 10,1,0,0,Transport,Nairobi
Pedestrian,Bicycle,18/12/18,18:12,0,14,30,29,25 - 30,N/A,1,0,Agricultural,Mombasa
Car,Car,06/09/18,18:55,1,14,70,68,65 - 70,1,1,0,Commercial,Kisumu
Motorbike,Bicycle,15/04/18,20:06,0,23,20,32,30 - 35,N/A,1,0,Agricultural,Nairobi
Bicycle,Motorbike,05/09/18,20:15,1,9,40,37,35 - 40,N/A,1,0,Residential,Nairobi
Car,Car,13/10/18,03:28,0,38,60,55,55 - 60,1,1,0,Agricultural,Nairobi
Car,Bicycle,17/11/18,01:04,1,9,20,23,20 - 25,1,1,0,Residential,Kisumu
Motorbike,Car,13/06/18,20:04,0,24,70,74,70 - 75,1,1,1,Commercial,Kisumu
Bicycle,Bicycle,25/03/18,09:23,0,16,30,22,20 - 25,N/A,1,0,Agricultural,Nairobi
Motorbike,Car,20/04/18,08:53,0,35,70,75,75 - 80,0,1,1,Commercial,Nairobi
Pedestrian,Bicycle,27/11/18,17:05,0,21,30,41,40 - 45,N/A,0,0,Commercial,Kisumu
Car,Car,03/10/18,19:16,1,12,60,60,60 - 65,1,1,0,Residential,Mombasa
Car,Car,24/03/18,20:32,1,20,30,28,25 - 30,1,1,0,Residential,Nairobi
Car,Pedestrian,01/08/18,19:59,0,12,30,29,25 - 30,1,1,0,Residential,Nairobi
Car,Car,22/11/18,10:25,0,8,30,37,35 - 40,1,1,0,Residential,Mombasa
Car,Car,04/11/18,19:09,1,17,70,70,70 - 75,1,1,0,Residential,Nairobi
Bicycle,Car,20/05/18,07:09,1,4,40,40,40 - 45,1,0,0,Residential,Nairobi
Car,Car,12/05/18,20:55,0,5,60,73,70 - 75,1,1,1,Transport,Mombasa
Car,Car,04/03/18,17:16,0,10,60,57,55 - 60,1,1,0,Agricultural,Mombasa
Motorbike,Car,04/09/18,20:28,0,34,40,54,50 - 55,0,1,0,Residential,Mombasa
Pedestrian,Bicycle,09/10/18,20:25,1,21,20,24,20 - 25,N/A,1,0,Residential,Nairobi
Pedestrian,Pedestrian,22/02/18,07:51,0,16,40,47,45 - 50,N/A,1,0,Transport,Mombasa
Car,Motorbike,04/06/18,18:36,0,14,40,28,25 - 30,1,1,0,Industrial,Kehancha
Bicycle,Pedestrian,11/10/18,20:27,0,6,20,15,15 - 20,N/A,0,0,Agricultural,Nairobi
Motorbike,Motorbike,02/01/18,19:29,1,10,50,56,55 - 60,N/A,1,0,Commercial,Nairobi
Car,Car,01/07/18,23:01,1,8,60,48,45 - 50,0,1,0,Residential,Nakuru
Car,Motorbike,16/11/18,19:38,1,17,50,53,50 - 55,1,1,1,Residential,Nairobi
Car,Pedestrian,11/12/18,17:55,0,20,40,31,30 - 35,1,0,0,Transport,Mombasa
Car,Car,18/02/18,10:59,1,32,50,53,50 - 55,1,1,0,Commercial,Nairobi
Car,Car,08/06/18,23:59,0,12,60,55,55 - 60,0,1,1,Industrial,Kehancha
Car,Car,19/06/18,14:04,0,1,70,61,60 - 65,1,1,0,Transport,Nairobi
Car,Bicycle,10/01/18,20:51,1,17,50,58,55 - 60,1,1,0,Residential,Nairobi
Car,Car,25/02/18,18:10,1,7,40,46,45 - 50,1,0,0,Commercial,Nakuru
Motorbike,Car,08/04/18,16:43,0,15,70,58,55 - 60,1,1,1,Commercial,Nakuru
Bicycle,Pedestrian,01/09/18,04:20,0,18,30,37,35 - 40,N/A,1,0,Residential,Mombasa
Car,Pedestrian,19/02/18,19:48,1,14,20,17,15 - 20,1,1,0,Residential,Nairobi
Pedestrian,Bicycle,28/05/18,09:46,0,22,30,29,25 - 30,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,14/12/18,05:35,1,17,20,19,15 - 20,N/A,0,0,Residential,Mombasa
Motorbike,Car,03/03/18,08:57,0,29,50,51,50 - 55,0,1,1,Agricultural,Kisumu
Car,Car,11/01/18,20:01,0,23,50,54,50 - 55,1,1,0,Agricultural,Nairobi
Motorbike,Bicycle,22/04/18,07:01,0,9,30,26,25 - 30,N/A,1,0,Commercial,Kisumu
Car,Car,25/04/18,18:03,0,16,60,45,45 - 50,1,1,0,Agricultural,Nairobi
Bicycle,Bicycle,27/09/18,08:32,1,13,20,28,25 - 30,N/A,1,0,Residential,Nairobi
Bicycle,Bicycle,09/04/18,09:00,0,6,20,5,5 - 10,N/A,1,0,Residential,Nairobi
Pedestrian,Bicycle,25/03/18,10:56,0,19,40,41,40 - 45,N/A,1,0,Residential,Nairobi
Car,Car,05/04/18,17:53,0,24,60,66,65 - 70,1,1,0,Residential,Nairobi
Motorbike,Bicycle,26/07/18,18:16,0,19,30,27,25 - 30,N/A,1,0,Agricultural,Nairobi
Motorbike,Bicycle,11/08/18,19:00,0,29,20,19,15 - 20,N/A,1,0,Agricultural,Eldoret
Pedestrian,Pedestrian,28/02/18,20:02,0,32,20,21,20 - 25,N/A,0,0,Residential,Nakuru
Bicycle,Car,12/03/18,04:33,1,26,20,20,20 - 25,1,1,0,Commercial,Nairobi
Bicycle,Car,10/10/18,19:33,1,19,20,13,10 - 15,1,1,0,Residential,Nairobi
Pedestrian,Car,04/03/18,10:57,1,4,30,31,30 - 35,0,0,0,Industrial,Mombasa
Car,Car,09/06/18,10:11,0,10,50,40,40 - 45,1,1,0,Residential,Mombasa
Car,Car,20/11/18,18:01,0,16,40,41,40 - 45,0,1,0,Residential,Eldoret
Motorbike,Car,08/08/18,20:00,0,27,60,72,70 - 75,1,1,1,Agricultural,Nairobi
Car,Car,21/03/18,19:32,0,10,40,44,40 - 45,1,1,0,Transport,Nairobi
Car,Car,13/02/18,10:40,0,32,60,46,45 - 50,0,1,1,Residential,Nairobi
Pedestrian,Pedestrian,01/03/18,18:08,0,34,20,17,15 - 20,N/A,0,0,Residential,Nairobi
Motorbike,Car,15/02/18,18:40,1,1,70,82,80 - 85,1,1,0,Residential,Nairobi
Bicycle,Car,27/06/18,09:58,1,13,40,38,35 - 40,0,1,0,Residential,Nakuru
Motorbike,Bicycle,10/12/18,10:06,0,25,30,20,20 - 25,N/A,1,0,Industrial,Kehancha
Pedestrian,Car,19/11/18,20:14,1,25,20,23,20 - 25,1,1,0,Commercial,Nairobi
Bicycle,Car,11/03/18,18:59,0,21,40,47,45 - 50,1,1,0,Transport,Nairobi
Bicycle,Bicycle,01/05/18,18:27,0,29,20,11,10 - 15,N/A,0,0,Residential,Eldoret
Pedestrian,Motorbike,18/05/18,18:48,1,27,30,30,30 - 35,N/A,1,0,Commercial,Nairobi
Bicycle,Pedestrian,04/06/18,20:45,1,18,30,30,30 - 35,N/A,1,0,Residential,Eldoret
Car,Bicycle,26/11/18,04:14,0,13,20,18,15 - 20,1,0,0,Industrial,Eldoret
Bicycle,Motorbike,08/06/18,11:32,0,2,30,32,30 - 35,N/A,1,0,Agricultural,Mombasa
Pedestrian,Bicycle,02/12/18,06:20,1,17,20,11,10 - 15,N/A,1,0,Transport,Nairobi
Car,Car,01/12/18,04:40,0,24,50,55,55 - 60,1,1,0,Residential,Mombasa
Pedestrian,Car,17/06/18,19:37,0,16,30,27,25 - 30,1,1,0,Residential,Mombasa
Pedestrian,Bicycle,04/05/18,14:53,0,23,30,24,20 - 25,N/A,1,0,Residential,Nairobi
Pedestrian,Car,27/08/18,20:50,0,24,30,31,30 - 35,1,1,0,Transport,Nairobi
